system:index,date,rainfall_max,rainfall_mean,rainfall_min,temperature_max,temperature_mean,temperature_min,.geo
66,1986-07,913.51827,346.4766977,89.64322233,300.6556838,298.0295337,290.4158064,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,1986-08,1295.090696,376.3984316,24.33066702,301.0068373,298.0715219,290.7266242,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,1986-09,692.0345879,303.3079326,80.50071621,300.1401294,297.6631568,290.2446081,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,1986-10,1048.202906,353.4192215,52.97961831,300.4436835,297.6155661,289.8699767,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,1986-11,1197.852884,353.9901352,3.130399466,300.2208403,297.3074037,289.7464968,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,1986-12,587.0422211,102.1725842,0,300.3211945,296.3143769,287.7306734,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,1987-01,433.5485063,79.56498209,0,300.0421588,295.8975859,287.0094728,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,1987-02,627.218544,86.71884731,0,300.3494357,296.0253206,287.284163,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1987-03,250.7297363,55.13364686,0,301.7263088,297.6670121,289.8037959,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,1987-04,202.1920691,40.04228409,0,303.2084852,299.0941339,290.7481201,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1987-05,405.647747,96.75881546,0,302.9202437,299.520542,291.102916,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1987-06,595.7239799,197.5792015,41.65901995,301.9688638,298.9607924,291.3606038,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1987-07,856.3751717,260.6332573,52.07914591,301.4405257,298.1934738,290.5792947,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,1987-08,857.6754436,272.827656,15.63508749,301.0411211,298.1893766,290.6655383,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,1987-09,818.3258829,225.1862942,32.72467065,301.1362012,298.2044425,290.951403,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,1987-10,673.8125076,232.7218829,32.75306273,301.0047494,298.2167979,290.5589827,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,1987-11,940.5054998,272.9200582,0,301.0850151,297.8806477,290.0468424,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1987-12,1051.46991,195.5837121,0,301.0306046,297.1310033,288.4168823,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,1988-01,826.8449898,94.99418114,0,301.5451011,297.4860058,288.9498443,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,1988-02,429.7934871,96.51339298,0,301.5941452,297.3762646,288.8806765,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,1988-03,492.5407057,87.90708835,0,302.3508122,298.4939279,290.3017242,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,1988-04,448.4560471,138.9799207,0,302.4173582,298.8318861,290.6369247,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,1988-05,590.6378374,180.7360582,28.73216152,302.8372904,299.4330732,291.8048355,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,1988-06,787.0412712,256.3947177,21.0058558,301.380708,298.4243177,290.8962977,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1988-07,847.3647747,298.8684371,86.66966486,301.2975722,298.3420332,290.7284253,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,1988-08,709.9518652,243.2950847,26.6572504,301.2466993,298.4517334,290.9533683,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1988-09,736.3085032,259.3658574,83.68462086,301.0623766,298.3816446,290.8475789,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,1988-10,1132.053565,481.3095928,114.1232256,300.7132778,297.7782245,290.6614333,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1988-11,1036.436049,325.3218159,10.8185699,300.1137106,297.062205,288.9967619,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,1988-12,801.1956186,221.2862598,0,299.8790778,295.8267561,286.8537711,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1989-01,958.2440157,176.3872393,0,300.5188011,296.5833281,287.9324252,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,1989-02,737.6462765,156.6653666,0,300.1160722,296.2602129,287.8649649,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,1989-03,781.8208218,199.4485109,0,300.2142972,296.7984775,288.5876066,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,1989-04,758.4414053,145.0682816,0,302.5183083,298.3189101,290.6157367,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,1989-05,676.720293,248.0125432,43.54889417,301.6317604,298.5124096,290.9642983,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1989-06,738.6328707,266.7928801,17.99529457,301.4231204,298.1183049,290.4431888,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1989-07,987.1148033,298.8909173,65.70484924,301.1569066,298.1916765,290.6066556,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,1989-08,1162.18136,347.1189862,67.99099612,300.7588645,298.0492655,290.5791219,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1989-09,1056.84738,307.5687511,56.22545052,300.7869058,297.9730403,290.5332708,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1989-10,533.7220926,258.3010427,93.83985996,300.4629676,297.7618679,290.2487302,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,1989-11,578.1351757,191.0848137,0,300.6970801,297.1424789,288.7146881,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,1989-12,492.558025,98.24334759,0,300.5274358,296.2081893,287.2206088,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1990-01,530.9339371,96.42996421,0,300.3683971,296.4021604,287.7376611,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1990-02,231.8854904,41.1103923,0,301.5733589,297.1399632,288.6026005,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1990-03,482.755825,74.7076232,0,302.1296053,297.6282992,289.3053472,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,1990-04,444.9783449,79.3568347,0,302.9980001,299.2639125,291.0039463,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1990-05,604.969202,257.3236956,62.21356034,302.2885446,299.0478373,291.3873428,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,1990-06,1000.358209,382.6619409,101.091924,301.1056713,298.3916004,291.0962881,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1990-07,897.7333527,307.6303144,40.89224815,300.9760748,298.1217946,290.6689696,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,1990-08,1356.983745,361.123977,42.1499393,301.0975305,298.3793599,290.8560912,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,1990-09,824.3170366,303.3758739,88.80979061,300.7605998,298.0461922,290.5517701,"{""type"":""MultiPoint"",""coordinates"":[]}"
